20:30:27.438 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.438 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.438 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.438 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.438 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.438 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.438 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.438 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.439 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.440 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
